Ingredient,Total Quantity (grams)
?duja Salami,56920.0
Alfredo Sauce,27465.0
Anchovies,52640.0
Artichokes,214890.0
Arugula,12320.0
Asiago Cheese,123810.0
Bacon,557480.0
Barbecue Sauce,45285.0
Barbecued Chicken,129290.0
Beef Chuck Roast,226380.0
Blue Cheese,26160.0
Brie Carre Cheese,21300.0
Calabrese Salami,300600.0
Capocollo,1233400.0
Caramelized Onions,11360.0
Chicken,1660950.0
Chipotle Sauce,131230.0
Chorizo Sausage,108450.0
Cilantro,65615.0
Coarse Sicilian Salami,219120.0
Corn,440410.0
Eggplant,53340.0
Feta Cheese,197540.0
Fontina Cheese,123540.0
Friggitello Peppers,14230.0
Garlic,472820.0
Genoa Salami,169620.0
Goat Cheese,260040.0
Gorgonzola Piccante Cheese,121880.0
Gouda Cheese,97320.0
Green Olives,86970.0
Green Peppers,137665.0
Italian Sausage,21690.0
Jalapeno Peppers,114275.0
Kalamata Olives,63085.0
Luganega Sausage,109560.0
Mozzarella Cheese,227460.0
Mushrooms,510660.0
Onions,54780.0
Oregano,24910.0
Pancetta,85380.0
Parmigiano Reggiano Cheese,285840.0
Pears,7100.0
Peperoncini verdi,40100.0
Pepperoni,477490.0
Pesto Sauce,80750.0
Pineapple,214905.0
Plum Tomatoes,71260.0
Prosciutto,21300.0
Prosciutto di San Daniele,28750.0
Provolone Cheese,26160.0
Red Onions,1331640.0
Red Peppers,282090.0
Ricotta Cheese,152350.0
Romano Cheese,26160.0
Sliced Ham,70912.5
Smoked Gouda Cheese,26160.0
Soppressata Salami,131100.0
Spinach,514725.0
Sun-dried Tomatoes,29935.0
Thai Sweet Chilli Sauce,86540.0
Thyme,3550.0
Tomatoes,931000.0
Zucchini,89080.0
